Gradient Profiler Text Data File: 4.24.140128_samp3.csv
Date: 2014-01-28
Time: 18:03:16

User: MK
Experiment name: 4.24.140128
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: 11 10.0% to 50.0% w/v
Time: 3
w2t: 1 x 10^0
Sample Volume: 0.9 ml
Number of Tubes: 6
Volume per mm: 0.143 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: Event Mark Delay
UV Wavelength: 254 nm
Samples / sec: 12 Hz
EM1 Speed: 0.20 mm/sec
Distance: 72.00 mm
Number: 1
Dead Volume: 0.241868 ml; Distance due to Dead Volume: 1.69 mm
Total Distance: 72.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
4.36, 0.527869, , 
4.38, 0.523334, , 
4.39, 0.519004, , 
4.41, 0.514611, , 
4.43, 0.509278, , 
4.44, 0.504857, , 
4.46, 0.500607, , 
4.48, 0.496459, , 
4.49, 0.492201, , 
4.51, 0.487015, , 
4.53, 0.482772, , 
4.54, 0.478522, , 
4.56, 0.474272, , 
4.58, 0.470085, , 
4.59, 0.464958, , 
4.61, 0.460787, , 
4.63, 0.456897, , 
4.64, 0.453095, , 
4.66, 0.449213, , 
4.68, 0.444527, , 
4.69, 0.440661, , 
4.71, 0.436962, , 
4.73, 0.433155, , 
4.74, 0.429107, , 
4.76, 0.424215, , 
4.78, 0.420388, , 
4.79, 0.416832, , 
4.81, 0.413291, , 
4.83, 0.408847, , 
4.84, 0.405163, , 
4.86, 0.401722, , 
4.88, 0.398518, , 
4.89, 0.395334, , 
4.91, 0.391322, , 
4.93, 0.387983, , 
4.94, 0.384823, , 
4.96, 0.381687, , 
4.98, 0.378479, , 
4.99, 0.374494, , 
5.01, 0.370890, , 
5.03, 0.367647, , 
5.04, 0.364701, , 
5.06, 0.361803, , 
5.08, 0.358361, , 
5.09, 0.355574, , 
5.11, 0.352862, , 
5.13, 0.350122, , 
5.15, 0.346522, , 
5.16, 0.343449, , 
5.18, 0.340495, , 
5.19, 0.337839, , 
5.21, 0.335218, , 
5.23, 0.331895, , 
5.24, 0.329104, , 
5.26, 0.326396, , 
5.28, 0.323910, , 
5.29, 0.321472, , 
5.31, 0.318347, , 
5.33, 0.315675, , 
5.34, 0.313102, , 
5.36, 0.310711, , 
5.38, 0.308332, , 
5.39, 0.305394, , 
5.41, 0.302924, , 
5.43, 0.300549, , 
5.44, 0.298281, , 
5.46, 0.295938, , 
5.48, 0.293122, , 
5.49, 0.290843, , 
5.51, 0.288761, , 
5.53, 0.286755, , 
5.55, 0.284201, , 
5.56, 0.281910, , 
5.58, 0.279816, , 
5.59, 0.277972, , 
5.61, 0.276264, , 
5.63, 0.274107, , 
5.64, 0.272132, , 
5.66, 0.270158, , 
5.68, 0.268350, , 
5.69, 0.266649, , 
5.71, 0.264535, , 
5.73, 0.262767, , 
5.74, 0.260943, , 
5.76, 0.259147, , 
5.78, 0.257573, , 
5.79, 0.255725, , 
5.81, 0.254116, , 
5.83, 0.252506, , 
5.84, 0.251027, , 
5.86, 0.249576, , 
5.88, 0.247633, , 
5.89, 0.246003, , 
5.91, 0.244536, , 
5.93, 0.243244, , 
5.95, 0.241586, , 
5.96, 0.239901, , 
5.98, 0.238093, , 
5.99, 0.236297, , 
6.01, 0.234687, , 
6.03, 0.232947, , 
6.04, 0.231349, , 
6.06, 0.229478, , 
6.08, 0.227737, , 
6.09, 0.226325, , 
6.11, 0.224648, , 
6.13, 0.222967, , 
6.14, 0.220945, , 
6.16, 0.218745, , 
6.18, 0.216655, , 
6.19, 0.215212, , 
6.21, 0.213578, , 
6.23, 0.211984, , 
6.24, 0.210549, , 
6.26, 0.209086, , 
6.28, 0.208154, , 
6.29, 0.207207, , 
6.31, 0.206180, , 
6.33, 0.205149, , 
6.34, 0.203789, , 
6.36, 0.202338, , 
6.38, 0.200732, , 
6.39, 0.199261, , 
6.41, 0.198079, , 
6.43, 0.196747, , 
6.44, 0.195482, , 
6.46, 0.194138, , 
6.48, 0.192858, , 
6.49, 0.191739, , 
6.51, 0.190447, , 
6.53, 0.189210, , 
6.54, 0.188016, , 
6.56, 0.186902, , 
6.58, 0.185574, , 
6.59, 0.184361, , 
6.61, 0.183084, , 
6.63, 0.181871, , 
6.64, 0.180753, , 
6.66, 0.179551, , 
6.68, 0.178469, , 
6.69, 0.177224, , 
6.71, 0.176110, , 
6.73, 0.175234, , 
6.74, 0.174274, , 
6.76, 0.173318, , 
6.78, 0.172145, , 
6.79, 0.171039, , 
6.81, 0.170071, , 
6.83, 0.169044, , 
6.84, 0.168164, , 
6.86, 0.167161, , 
6.88, 0.166079, , 
6.89, 0.165171, , 
6.91, 0.164175, , 
6.93, 0.163279, , 
6.94, 0.162344, , 
6.96, 0.161340, , 
6.98, 0.160163, , 
6.99, 0.159100, , 
7.01, 0.157879, , 
7.03, 0.156789, , 
7.04, 0.156000, , 
7.06, 0.155342, , 
7.08, 0.154679, , 
7.09, 0.153724, , 
7.11, 0.152693, , 
7.13, 0.151694, , 
7.14, 0.150782, , 
7.16, 0.150056, , 
7.18, 0.149192, , 
7.19, 0.148185, , 
7.21, 0.147285, , 
7.23, 0.146365, , 
7.24, 0.145651, , 
7.26, 0.144842, , 
7.28, 0.144010, , 
7.30, 0.143169, , 
7.31, 0.142523, , 
7.33, 0.141754, , 
7.34, 0.140929, , 
7.36, 0.140140, , 
7.38, 0.139355, , 
7.39, 0.138740, , 
7.41, 0.137975, , 
7.43, 0.137115, , 
7.44, 0.136286, , 
7.46, 0.135541, , 
7.48, 0.134970, , 
7.49, 0.134193, , 
7.51, 0.133308, , 
7.53, 0.132512, , 
7.54, 0.131774, , 
7.56, 0.131183, , 
7.58, 0.130339, , 
