Gradient Profiler Text Data File: 4.24.140214_r1_s1.csv
Date: 2014-02-14
Time: 17:32:53

User: MK
Experiment name: test
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: 11 10.0% to 50.0% w/v
Time: 3
w2t: 1 x 10^0
Sample Volume: 0.9 ml
Number of Tubes: 6
Volume per mm: 0.143 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: Event Mark Delay
UV Wavelength: 254 nm
Samples / sec: 12 Hz
EM1 Speed: 0.20 mm/sec
Distance: 72.00 mm
Number: 1
Dead Volume: 0.241868 ml; Distance due to Dead Volume: 1.69 mm
Total Distance: 72.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
3.01, 0.676498, , 
3.03, 0.671594, , 
3.04, 0.666689, , 
3.06, 0.661027, , 
3.08, 0.656499, , 
3.09, 0.651983, , 
3.11, 0.647237, , 
3.13, 0.642154, , 
3.14, 0.636342, , 
3.16, 0.631901, , 
3.18, 0.627647, , 
3.19, 0.623257, , 
3.21, 0.618773, , 
3.23, 0.613432, , 
3.24, 0.608774, , 
3.26, 0.604067, , 
3.28, 0.599440, , 
3.30, 0.594080, , 
3.31, 0.589786, , 
3.33, 0.585515, , 
3.34, 0.581110, , 
3.36, 0.576487, , 
3.38, 0.570960, , 
3.39, 0.566468, , 
3.41, 0.562126, , 
3.43, 0.557697, , 
3.44, 0.553158, , 
3.46, 0.547769, , 
3.48, 0.543392, , 
3.49, 0.538995, , 
3.51, 0.534415, , 
3.53, 0.529737, , 
3.54, 0.524234, , 
3.56, 0.519753, , 
3.58, 0.515225, , 
3.59, 0.510515, , 
3.61, 0.505963, , 
3.63, 0.500718, , 
3.64, 0.496479, , 
3.66, 0.492118, , 
3.68, 0.487744, , 
3.70, 0.482491, , 
3.71, 0.478272, , 
3.73, 0.474113, , 
3.74, 0.469914, , 
3.76, 0.465680, , 
3.78, 0.460684, , 
3.79, 0.456719, , 
3.81, 0.452833, , 
3.83, 0.448761, , 
3.84, 0.444733, , 
3.86, 0.440086, , 
3.88, 0.436268, , 
3.89, 0.432426, , 
3.91, 0.428600, , 
3.93, 0.424076, , 
3.94, 0.420503, , 
3.96, 0.416911, , 
3.98, 0.413006, , 
3.99, 0.409013, , 
4.01, 0.404572, , 
4.03, 0.401353, , 
4.04, 0.398086, , 
4.06, 0.394482, , 
4.08, 0.390747, , 
4.09, 0.386421, , 
4.11, 0.383082, , 
4.13, 0.379800, , 
4.14, 0.376370, , 
4.16, 0.372928, , 
4.18, 0.368896, , 
4.19, 0.365645, , 
4.21, 0.362386, , 
4.23, 0.359210, , 
4.24, 0.355962, , 
4.26, 0.352152, , 
4.28, 0.349008, , 
4.29, 0.345903, , 
4.31, 0.342823, , 
4.33, 0.339262, , 
4.34, 0.336550, , 
4.36, 0.333751, , 
4.38, 0.330658, , 
4.39, 0.327752, , 
4.41, 0.324751, , 
4.43, 0.322526, , 
4.44, 0.320195, , 
4.46, 0.317649, , 
4.48, 0.314985, , 
4.49, 0.311785, , 
4.51, 0.309141, , 
4.53, 0.306500, , 
4.54, 0.303733, , 
4.56, 0.300945, , 
4.58, 0.297857, , 
4.59, 0.295418, , 
4.61, 0.292900, , 
4.63, 0.290403, , 
4.64, 0.288055, , 
4.66, 0.285641, , 
4.68, 0.283579, , 
4.69, 0.281311, , 
4.71, 0.278999, , 
4.73, 0.276387, , 
4.74, 0.274345, , 
